id	cul	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6.	AC_7	AC_8	AC_9.	AC_10	AC_11	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2.EC	IRI_4.EC.	IRI_9.EC	IRI_14.EC.	IRI_18.EC.	IRI_20.EC	IRI_22.EC	IRI_3.PT.	IRI_8.PT	IRI_11.PT	IRI_15.PT.	IRI_21.PT	IRI_25.PT	IRI_28.PT	EXP_1	EXP_2	EXP_3	RHAB	FNL1	FNL2	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RATE_WITCH
1	JP1	JP	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	5	4	4	0	0	0	0	0	0	5	5	2	1	5	5	0	2	0	5	1	5	5	5	5	5	6	5	5	5	5	5	3	4	4	4	5	4	4	5	3	1	0	無宗教式		1	44	九州・沖縄	なし	日本	日本	主婦	大分県	はい	ネイティブ(母語が日本語である)	専門学校・高等専門学校（高専）・短期大学	A
2	JP10	JP	5	7	7	7	5	6	6	7	5	7	7	5	6	4	4	4	4	4	4	4	4	7	7	6	6	6	1	6	7	4	7	6	2	2	2	2	2	3	7	7	8	8	9	7	8	8	8	8	8	7	7	8	7	6	5	5	5	5	5	6	2	5	5	3	5	3	3	5	2	1	0	仏教式		1	58	九州・沖縄	仏教	日本	日本	パート	福岡県	はい		専門学校・高等専門学校（高専）・短期大学	A
3	JP100	JP	6	6	7	7	7	7	7	7	7	7	7	6	7	5	4	4	3	3	4	3	2	4	4	3	3	3	3	4	4	4	3	3	0	0	0	0	0	0	5	5	5	5	4	7	3	2	5	3	4	4	4	3	5	4	6	6	6	5	3	4	2	5	4	4	4	4	4	4	1	1	1	仏教式		0	54	関東	仏教	日本	日本	会社員	神奈川県	はい		大学・大学校	A
4	JP1000	JP	5	6	6	5	5	5	5	5	6	6	6	4	5	4	4	3	4	3	4	3	2	4	6	2	4	4	1	6	6	4	4	4	1	1	0	0	0	4	5	7	6	0	5	8	6	7	5	7	6	7	6	6	7	4	3	5	4	4	4	5	3	5	6	3	6	5	5	6	4	1	4	仏教式		0	38	中国・四国	仏教	日本	愛媛	ソフトウェア	愛媛県	はい		大学・大学校	A
5	JP1001	JP	6	7	7	7	6	5	7	6	7	7	7	7	7	5	5	5	3	1	5	5	5	5	6	4	5	5	3	5	5	2	6	5	0	-1	1	0	0	0	4	7	6	2	6	9	7	9	8	7	8	4	5	5	5	1	3	4	5	4	4	5	4	5	4	4	4	5	5	6	1	1	3	仏教式		1	33	中部・北陸	なし	日本	日本	会社員	新潟	はい		専門学校・高等専門学校（高専）・短期大学	A
6	JP1002	JP	7	7	7	7	7	7	7	7	7	7	7	7	7	5	5	5	4	2	3	3	4	4	4	3	3	2	2	1	1	4	3	1	0	4	4	0	3	3	2	10	7	3	3	10	2	10	0	10	10	10	10	10	10	6	7	7	7	7	6	7	5	7	6	4	7	5	5	6	5	1	10	仏教式		1	51	関東	なし	日本	日本	フリーランス	埼玉	はい	ネイティブ(母語が日本語である)	高等学校	A
7	JP1003	JP	7	6	6	6	6	6	6	4	4	5	5	5	5	3	2	2	2	1	3	3	3	3	5	4	5	3	5	3	4	4	4	4	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	4	3	4	4	4	5	3	4	4	7	1	1	0	その他	わからない	1	24	中国・四国	なし	日本	日本	無職	広島県	はい	基礎レベル（Basic）	高等学校	A
8	JP1004	JP	6	6	6	6	4	7	7	6	4	6	7	6	6	4	4	3	2	1	1	2	2	6	5	3	3	3	3	4	5	6	5	4	1	2	0	2	0	2	6	8	4	4	6	7	4	6	4	7	7	7	7	6	7	5	4	4	4	3	4	4	3	3	4	3	3	3	4	5	4	3	0	仏教式		1	27	中国・四国	仏教	日本	日本	看護師	島根県	はい		大学・大学校	A
9	JP1005	JP	6	7	7	7	7	7	7	7	5	7	7	7	7	5	4	4	4	1	5	5	3	5	6	2	2	2	1	5	2	5	2	2	-2	-1	-2	1	-1	1	0	7	0	0	8	10	0	0	0	9	0	9	0	0	9	3	5	6	6	3	5	5	6	6	1	6	3	1	2	4	4	1	0	仏教式		1	27	北海道・東北	なし	日本	日本	事務職	青森県	はい		大学・大学校	A
10	JP1006	JP	5	5	5	5	5	5	5	5	4	5	5	5	5	4	4	3	4	3	4	3	3	3	2	4	3	3	3	5	3	5	2	3	0	0	0	-1	0	1	7	6	5	6	5	6	5	6	5	7	6	6	5	4	7	4	3	6	5	4	4	3	2	5	5	4	5	5	5	5	5	1	1	無宗教式		0	49	関東	なし	日本	日本	医療福祉	神奈川県	はい		大学院	B
