id	cul	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6.	AC_7	AC_8	AC_9.	AC_10	AC_11	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2.EC	IRI_4.EC.	IRI_9.EC	IRI_14.EC.	IRI_18.EC.	IRI_20.EC	IRI_22.EC	IRI_3.PT.	IRI_8.PT	IRI_11.PT	IRI_15.PT.	IRI_21.PT	IRI_25.PT	IRI_28.PT	EXP_1	EXP_2	EXP_3	RHAB	FNL1	FNL2	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RATE_WITCH
1	EN1	US	5	4	5	6	7	4	5	6	5	5	5	5	5	1	1	2	2	1	1	2	1	4	1	1	2	1	4	3	1	7	2	5	1	-3	-4	-4	-2	-1	0	3	3	3	2	2	2	1	0	5	5	5	3	3	2	4	6	4	5	4	3	3	6	3	3	4	3	2	2	2	2	3	1	NA	NA	0	40	South	Islam	Usa	Florida	Management	USA	Yes	Basic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	B
2	EN10	US	4	3	4	3	3	5	7	7	3	5	3	4	3	4	4	2	5	2	5	4	4	6	6	5	6	7	3	5	6	2	6	4	3	0	1	-4	-3	-3	6	5	4	0	0	3	0	0	0	7	0	6	0	0	7	5	7	4	5	4	5	4	6	4	4	4	2	5	3	6	4	5	0	NA	NA	0	30	Northeast	No	USA	USA	Banking	NY	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	A
3	EN100	US	3	2	7	7	7	2	7	7	4	3	5	7	4	4	2	1	4	1	1	4	4	4	7	2	7	7	1	7	7	7	7	7	4	4	0	0	-1	4	0	10	0	0	0	10	0	0	0	1	2	9	1	8	10	7	7	7	7	7	6	7	7	7	7	1	7	6	5	2	2	1	7	NA	NA	0	42	West	Christian	United States	United States	Information technology	California	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	A
4	EN1000	US	7	3	4	4	5	7	7	4	6	5	6	6	6	3	3	2	2	2	2	2	2	3	3	3	4	6	7	3	2	4	4	2	2	-3	4	-4	-1	-3	6	6	9	2	6	9	6	7	5	5	2	9	9	5	8	7	6	1	6	7	2	4	6	2	1	6	3	6	3	6	1	1	4	NA	NA	0	26	Midwest	Non	USA	USA	Training 	California 	Yes	Native	Graduate University / Professional School (Master's Degree, Doctoral Degree)	B
5	EN1001	US	6	7	7	6	6	6	7	7	6	6	7	6	6	4	4	3	4	4	3	4	4	4	4	3	4	3	3	4	4	3	3	3	-3	-3	0	0	-1	-1	4	5	4	3	5	7	4	7	5	8	7	6	6	5	7	5	5	5	5	5	5	5	4	6	6	4	6	5	5	7	4	1	0	NA	NA	1	43	South	none	United States	United States	information technology 	Georgia	Yes		University / College / Undergraduate School (Bachelor Degree)	A
6	EN1002	US	4	4	4	4	4	4	4	4	4	4	5	4	4	4	3	3	5	4	2	3	2	6	1	2	1	1	2	2	2	3	1	1	-4	-4	0	0	0	2	0	6	0	0	0	6	0	0	0	7	0	7	3	0	7	6	6	6	6	6	6	6	6	6	6	3	6	3	5	3	2	1	0	NA	NA	1	51	Midwest	none	United States	United States	Substitute teacher	Ohio	Yes		University / College / Undergraduate School (Bachelor Degree)	A
7	EN1003	US	4	4	4	4	4	4	4	7	4	4	7	4	4	4	4	4	5	1	2	3	1	6	4	4	4	4	1	3	3	4	4	3	4	4	4	4	4	4	5	10	10	0	5	10	0	10	9	10	10	10	9	8	10	7	6	6	6	6	6	7	6	5	5	4	7	3	3	3	1	1	0	NA	NA	0	36	South	Christian 	United states of America 	United states of America 	School bus driver 	South Carolina 	Yes		Vocational School / Technical College / Communication College (Associate Degree)	B
8	EN1004	US	7	1	2	7	2	4	4	4	1	7	1	4	4	1	4	4	5	5	1	4	1	7	7	7	1	1	1	1	7	4	7	1	0	4	4	4	4	4	10	10	10	0	5	0	0	10	5	10	10	10	10	10	5	7	7	7	1	1	7	4	7	7	7	1	7	4	7	7	8	6	0	NA	NA	1	55	West	Baptist	united states	united states	customer service	Nevada	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
9	EN1005	US	6	4	5	6	6	7	6	6	4	6	7	6	6	3	3	2	4	1	4	4	3	5	4	4	3	3	3	4	4	3	3	3	3	3	0	3	3	3	6	8	5	2	4	8	1	5	2	8	5	8	2	2	8	5	6	5	6	6	6	4	4	5	5	2	5	3	4	3	1	1	5	NA	NA	1	24	Northeast	Christian 	United States of America	United States of America	Student	Pennsylvania 	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	B
10	EN1006	US	3	6	4	6	6	6	6	6	4	6	7	4	4	3	4	1	4	1	1	3	1	5	5	1	5	3	2	3	4	2	5	5	4	4	3	4	4	4	0	6	6	0	0	6	0	6	0	8	4	8	4	4	6	7	6	7	6	7	6	7	6	5	7	2	5	4	7	5	1	1	10	NA	NA	1	50	Northeast	Methodist	USA	USA	Homemaker 	New Hampshire 	Yes		Vocational School / Technical College / Communication College (Associate Degree)	A
