"country"	"model"	"var"	"value"
"US"	"religion"	"R.squared"	0.249755684532728
"US"	"religion"	"AIC"	4609.00458108562
"US"	"value"	"R.squared"	0.291185947467667
"US"	"value"	"AIC"	4506.64074115105
"US"	"best"	"R.squared"	0.292204153400063
"US"	"best"	"AIC"	4500.07040076044
"JP"	"religion"	"R.squared"	0.139669236514422
"JP"	"religion"	"AIC"	5331.41052517882
"JP"	"value"	"R.squared"	0.166616950190254
"JP"	"value"	"AIC"	5268.43173194233
"JP"	"best"	"R.squared"	0.166430459742625
"JP"	"best"	"AIC"	5267.8798675271
"interaction"	"interaction_all"	"R.squared"	0.223439993264762
"interaction"	"interaction_all"	"AIC"	9792.82538335039
"interaction"	"interaction_best"	"R.squared"	0.223598905801167
"interaction"	"interaction_best"	"AIC"	9787.07215582904
