Duration	Gender	Age	Region	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6*	AC_7	AC_8	AC_9*	AC_10	AC_11	RATE_WITCH	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2:EC	IRI_3:PT*	IRI_4:EC*	IRI_8:PT	IRI_9:EC	IRI_11:PT	IRI_14:EC*	IRI_15:PT*	IRI_18:EC*	IRI_20:EC	IRI_21:PT	IRI_22:EC	IRI_25:PT	IRI_28:PT	REL	FNL1	FNL2	EDU	NAT_1	NAT_2	NAT_3	NAT_4	EXCLUDE	LNG1	LNG2	EXP_1	EXP_2	EXP_3	RHAB
444	女性	44	九州・沖縄	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	3	4	4	A	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5	5	2	1	5	5	0	2	0	5	1	5	5	5	5	5	5	2	4	5	4	3	4	3	5	5	5	4	4	なし	無宗教式		専門学校・高等専門学校（高専）・短期大学	日本	日本	主婦	大分県		はい	ネイティブ(母語が日本語である)	5	3	1	0
404	男性	29	北海道・東北	4	3	3	3	1	3	3	2	2	2	2	2	2	2	2	2	5	2	2	A	1	1	1	1	1	1	1	1	2	1	1	1	1	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	3	3	4	3	4	4	4	4	4	4	4	4	4	なし	仏教式		専門学校・高等専門学校（高専）・短期大学	日本	日本	自由	北海道		はい		5	1	1	0
540	女性	33	関東	2	3	2	3	4	4	2	3	4	4	4	4	4	5	4	4	5	4	3	A	3	2	2	2	2	2	2	2	2	2	2	2	2	-4	-3	-3	1	0	0	5	5	5	5	6	10	2	3	2	10	5	10	5	2	10	1	6	7	4	1	5	7	7	7	5	4	7	3	4	なし	仏教式		専門学校・高等専門学校（高専）・短期大学	日本	日本	接客	神奈川		はい	ネイティブ(母語が日本語である)	1	2	1	1
566	男性	33	関東	4	4	3	4	4	3	3	2	7	5	2	5	5	5	6	5	3	4	2	A	3	4	3	4	4	4	4	3	4	5	3	5	4	-4	-4	-2	-4	-4	-3	0	6	0	0	6	6	0	0	7	7	0	7	2	0	7	5	5	3	5	5	5	3	4	4	4	4	4	4	4	なし	仏教式		大学院	日本	日本	会社員	東京		はい		6	1	1	0
449	女性	36	関東	4	2	1	3	1	4	4	3	4	2	1	2	4	4	4	4	1	4	4	A	1	3	3	4	4	1	2	1	2	1	1	4	4	0	4	4	0	-4	0	5	6	0	0	0	6	0	8	0	9	10	2	5	8	6	7	7	1	5	5	6	1	1	1	7	7	7	5	5	創価学会	仏教式		専門学校・高等専門学校（高専）・短期大学	日本	日本	専業主婦	東京都		はい		5	1	1	10
685	男性	41	関東	4	4	3	4	2	3	3	3	6	4	2	4	4	5	4	4	4	3	4	A	2	2	2	2	2	2	2	1	2	2	2	2	2	0	0	0	0	0	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	5	4	4	3	4	5	4	4	4	4	なし	仏教式		大学・大学校	日本	日本	会社員	東京都		はい		1	1	1	1
492	男性	42	関東	3	4	3	4	3	4	4	3	5	5	4	5	6	4	6	5	3	4	4	A	3	2	2	2	2	1	1	1	1	1	1	2	2	0	0	1	-2	1	1	6	7	1	7	5	7	2	1	1	8	0	5	6	1	6	4	3	3	4	4	5	3	2	2	2	6	5	3	5	なし	仏教式		大学・大学校	日本	日本	公務員	神奈川県		はい	ネイティブ(母語が日本語である)	5	2	1	0
712	男性	30	中部・北陸	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	A	7	7	7	7	7	7	7	7	7	7	7	7	7	-4	-4	-4	-4	-4	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	なし	無宗教式		中学校	日本	日本	パート	愛知		はい		1	1	1	0
868	男性	29	九州・沖縄	5	4	4	5	5	3	4	1	3	2	4	4	2	6	4	4	6	2	4	A	3	3	2	4	3	2	2	2	5	3	2	6	3	2	2	2	2	2	1	5	6	3	3	4	6	3	3	1	7	5	4	4	2	2	6	2	6	7	2	3	6	4	6	5	6	2	3	3	なし	仏教式		高等学校	日本	日本	自営業	長崎県		はい		4	1	1	0
989	女性	58	九州・沖縄	4	4	4	4	4	4	4	4	7	7	6	6	6	7	6	7	4	7	6	A	3	1	1	1	3	2	2	1	3	1	1	3	2	2	2	2	2	2	3	7	7	8	8	9	7	8	8	8	8	8	7	7	8	7	6	6	3	5	5	5	3	5	3	5	5	6	3	3	仏教	仏教式		専門学校・高等専門学校（高専）・短期大学	日本	日本	パート	福岡県		はい		5	2	1	0
829	男性	45	北海道・東北	3	4	4	4	3	5	2	4	2	2	1	1	4	4	2	1	6	3	1	A	2	3	3	3	3	3	4	1	3	3	1	3	3	-4	-4	0	-4	-4	-2	0	1	0	0	4	1	0	0	0	1	0	0	0	0	2	4	7	3	2	5	4	3	3	2	4	4	1	3	6	科学	仏教式		専門学校・高等専門学校（高専）・短期大学	日本	日本	無職	宮城		はい		7	5	3	10
502	女性	38	関東	4	4	4	5	2	5	3	2	7	7	6	7	6	7	4	7	1	7	4	A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	-3	-3	1	7	5	5	5	7	6	4	4	4	6	4	4	4	4	4	5	3	3	5	5	5	3	1	1	7	7	7	5	5	無宗教	仏教式		大学・大学校	日本	日本	会社員	東京		はい		7	6	1	4
576	男性	56	関東	4	4	2	4	2	4	4	4	3	4	4	1	2	4	2	2	4	1	1	A	4	4	4	2	2	4	4	2	1	4	2	5	4	1	0	0	-3	0	0	0	8	0	0	0	8	0	0	0	9	0	6	0	0	7	3	2	7	6	2	2	4	3	6	4	6	3	2	4	神道	無宗教式		高等学校	日本	日本	漫画家	東京都		はい		5	5	1	10
526	女性	31	中部・北陸	3	3	3	3	2	4	4	3	5	5	4	6	5	6	4	5	4	5	5	A	3	3	2	2	2	2	2	2	3	2	2	3	3	0	0	0	1	0	0	5	4	4	3	4	5	4	3	2	6	4	4	3	2	3	4	5	3	4	5	4	3	5	2	4	4	5	4	4	なし	仏教式		大学・大学校	日本	日本	主婦	愛知		はい		1	1	1	1
365	男性	43	近畿（関西）	3	4	2	3	4	4	4	2	4	4	3	4	5	5	4	4	3	4	4	A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	3	5	5	5	5	5	6	5	6	5	7	4	5	5	4	5	5	5	4	5	5	5	4	3	4	5	5	5	5	5	なし	無宗教式		大学・大学校	日本	日本	公務	大阪府		はい		4	4	1	0
508	男性	29	近畿（関西）	4	4	4	4	2	5	3	2	3	1	1	1	1	4	2	1	4	1	1	A	2	2	2	2	2	1	1	1	2	2	1	3	3	0	2	2	1	1	1	5	8	5	5	6	8	0	3	2	8	6	6	6	5	7	5	5	2	5	5	6	1	2	1	7	6	5	5	6	なし	仏教式		大学・大学校	日本	日本	医師	兵庫県		はい		3	2	1	10
1124	男性	32	関東	4	3	3	4	1	4	4	3	4	4	3	4	4	2	4	3	3	4	4	A	1	2	3	3	3	1	4	2	3	2	1	4	3	0	1	0	-3	1	0	3	1	0	1	5	6	0	0	2	4	0	1	0	0	2	5	4	4	5	3	4	3	5	2	5	4	5	2	5	なし	仏教式		大学・大学校	日本	日本	会社員	埼玉県		はい		1	1	1	3
576	男性	41	中部・北陸	3	3	2	3	2	3	4	3	6	5	4	6	6	4	6	6	1	6	5	B	4	4	4	4	4	4	4	4	4	4	4	4	4	0	2	2	1	1	2	3	6	3	3	3	6	3	3	4	6	3	6	6	3	6	5	6	3	3	5	4	3	3	3	5	5	4	4	5	なし	仏教式		大学・大学校	日本	日本	公務員	静岡県		はい		5	4	1	6
540	女性	38	近畿（関西）	3	5	4	2	1	4	3	3	6	6	4	5	4	6	4	4	2	4	4	A	7	7	7	7	7	5	7	2	7	7	4	7	7	4	4	4	4	4	4	0	3	3	0	0	10	0	10	0	10	10	10	10	10	10	3	7	2	1	6	4	1	3	1	6	5	3	2	2	なし	仏教式		大学・大学校	日本	日本	パート	大阪		はい	ネイティブ(母語が日本語である)	4	1	1	6
812	男性	56	中国・四国	4	4	4	3	1	3	2	2	6	6	3	6	7	7	2	4	1	4	3	A	7	1	2	5	4	5	5	1	6	4	1	5	5	-2	3	4	4	4	3	7	3	3	0	2	8	0	6	0	6	5	1	3	1	1	4	5	3	6	4	5	4	5	2	5	4	5	5	6	なし	仏教式		大学・大学校	日本	日本	販売員	広島県		はい	ネイティブ(母語が日本語である)	4	4	1	1
1428	女性	31	関東	4	4	4	4	3	4	2	3	4	4	3	4	4	5	4	4	4	4	4	A	3	3	3	3	3	4	4	3	5	4	2	4	4	0	0	1	1	1	2	8	6	4	7	1	6	5	7	0	5	4	6	9	4	8	4	6	5	4	4	4	4	4	6	5	4	4	2	3	なし	仏教式		専門学校・高等専門学校（高専）・短期大学	日本	日本	会社員	東京		はい		5	1	1	2
1604	男性	59	関東	4	4	4	3	2	3	2	2	6	6	1	6	5	7	6	5	7	5	5	A	5	2	3	4	3	4	4	2	5	2	1	4	4	3	3	4	4	4	4	10	10	7	5	6	7	0	7	5	10	10	5	7	5	7	2	4	4	6	5	4	4	5	3	5	5	4	3	4	なし	仏教式		高等学校	日本	日本	エンジニア	東京		はい		4	4	1	2
1238	男性	59	関東	4	4	4	4	2	4	3	3	5	4	3	4	4	5	5	4	3	4	3	A	3	2	3	3	3	3	3	3	4	3	3	4	3	0	-1	1	2	1	3	8	5	5	6	7	5	7	5	6	5	5	5	5	5	5	5	3	3	4	4	5	2	3	3	4	4	5	4	4	創価学会	その他	友人葬式	高等学校	日本	日本	無職	東京都		はい		4	4	2	0
